sample_id,category,outcome,failure_mode,failure_step,notes
87ea181fa8c78cf62748a3490a845f4740dd4d5824cda20316ec05022998059e,google_flight,success,,,
8dbb24c167b85f126c58dd983d130fa759dd267d562813b74a6d89ab959c1e71,google_flight,success,,,
973265788f73a2309245782ee9e5580dbcb1797dbabd1a3fc06ef8575b7db652,google_flight,failed,inefficient_search,17,"The agent assumed 'best' as shortest layover "
bb468f6017ef274f475ea5caabf34ac6c33f2523ae92e993087b4a9cfd2619d8,google_flight,failed,early_terminated;missed_constraint,12
e5677cbb1e5eea79188ff5193aa5d8a3dd55b3ef5896729fdc85a8d98b6b34f3,amazon,success,,,too much steps
dcd431c9c7c3f8ad2c7bf8f6eff36d40ac2a26313db46e3ec34ef00384e324d4,amazon,success,,,too much steps;The agent didn't use filter to narrow targets
d95272c4bdc8b554302393460823f2cd6dfef0280f4b10b64fb3f5877cbc061a,amazon,success,,,too much steps;didn't use search box input with more keywords
3672b077c54192ee2e018d1910a8c06b38e779e80e27ea7f169d586b6e52ee01,amazon,success,,
e3dd8b672040358f90c1e04eabb550ce5ae5d83f835e77b439ed6b9df83c5099,apple,failed,early_terminated;inefficient_search;wrong_target,26,agent didn't find anwser 
2b5043e60689641f15f2ae8de566f023fdeece8548a5f2f2a78071c2d167f080,apple,success,,,
865eb899d535f41df5bf4b17d84eaf0ab7adea06704ad24a5fea56598831e7fa,apple,success,,
19bacddefba25e3f6e6a63dda5c1862beeef09062e8c008f51a002aa19e2cbc3,apple,failed,early_terminated,7,didn't find anwser
a492a7f130f565cc31662ce63c5ed1297ff48df996a747d735405df2269a3bfb,allrecipes,success,,
44bc689d47bfe634bde3454f1eab21437cc98cea7be4b6e44068e022c470ed3d,allrecipes,success,,
a6daae0455a6bd9e3bb37a0f9e853f53e17b7b6639cbbf5501e44c51781313d0,allrecipes,failed,early_terminated,1,didn't find anwser
a2526a14d27f6d511e5216296976133c2d2d64126a3dfcf0cf07a94e1cd3e35d,allrecipes,failed,early_terminated,5,didn't find anwser
32e7dbe84bcaf8206d7d28a43e9c7b26e3553c33e509c30618bddb34fe8aaef4,github,success,,
3a1009c792bfaad04761c7e6332fe1d332ad440ad64b7b1f320677e4758fbb68,github,failed,wrong_result;missed_constraint,5,wrong result; agent forgot 'newly' and 'at least 100 stars'
963540ac95f6f5c7342cd6656329a56ee530dc17f3e6d05191643c554fac51df,github,success,,
7cb4d4b1a9b88683ffbd82c7320a64f1a74928a0d41e9cfb2f7c52b4bc4346ab,github,success,,
b31ed3c90690a0e0757c108be0eafd941a32358a396f9a01d9dfeb4f1b279158,booking,success,,,No matced results on Booking.com
369cde93212c31a57d18b8bc1aa61bf5d57d68bcb38d4918b4c9fc301da28a63,booking,success,,
ffa6cd8e3e896ad57c1eb59b25fe617f70d92f1b3b6b0bcaf2b734bf10d19a8b,booking,failed,early_terminated,39,didn't find anwser
a033c96e5d4413347fe0ea7cbcf5c01ff84970d37e6743ca1d09d857e11937fe,booking,failed,wrong_target,3,"Searched for San Jose, Costa Rica instead of San Francisco; agent didn't recognize they were on pages with wrong target city"
945d14f4290efaa35e70185ecdb2a66c4a6acf826ae9ddb17995cc355aae0cac,arxiv,failed,wrong_result,7
7357a951f990f531ebaa4761106d7f960054de3bb213e31a24a99f2be64264c6,huggingface,failed,wrong_result;wrong_target,4,agent looked at repo instead of blog
2b44b6762de7b8fdfaa80b72bffbf7a9b46d957c6d5496133d96772f6c49d6e3,booking,failed,wrong_result;missed_constraint,7,"agent picked wrong date range and didn't apply ""sauna"" and ""breakfast"" options"
0f1fafb32cb6b85f8a7e950af36286012292780d409caebd76d015af272d099c,arxiv,success
f51766eee5627636023c32517eb5d5362c75137194490409e8935e1035e77e2a,amazon,failed,wrong_result,4,The user is looking for a 16 inch ring light but returns a 14 inch one
cc5c498fce92fc22a65d6efc8c7f6deae6b032c3fdc0d135346fa5e476a89923,amazon,failed,wrong_result;missed_constraint,13,"The agent set the price range to $98-155, but the task required a price range between $100 and $150"
2d0807be8dc5f2d1219d6c2b7b2f17d00a12178f0f25a1e0f0c0d11e12f1b95b,arxiv,success
98872d07da3c778a6c97369b1ac1b7e77e37e6829554add5841dd587705ad59e,huggingface,success
071b66b4835f126f6c205fa349323688f6652d66b103c66cf1606f5abe36ba28,github,failed,wrong_result;missed_constraint,8,The agent searched one keyword on github but missed 'starts'
cf1b44c865dd9dd3d6a5742720640bb2907757b914b616356cb7d0b10c2582da,github,failed,inefficient_search;missed_constraint,3,"agent inputed a wrong keyword in the search input box, and refused more attempts"
d8d335be0b252e0adbef1c41f190ee7b249d37ac857224bf8857473dc227c258,huggingface,failed,inefficient_search,5,The agent entered a wrong keyword
